गला,450
संझा,451
पेया,452
दस्सी,453
देर,454
मती,455
इत्थु,456
थियां,457
पुच्छेया,458
समझा,459
माँ,460
ग्रां,461
इनां,462
रंग,463
हिमाचल,464
एही,465
पिच्छे,466
औणा,467
हाली,468
इसते,469
लगाई,470
जीवन,471
एत्थू,472
चोरी,473
सामणे,474
बल,475
बाल,476
साहब,477
पुज्जा,478
हुंदी,479
स्कूल,480
नई,481
मिन्जो,482
चुक्की,483
तों,484
बदली,485
समझी,486
सब्बो,487
जित्थू,488
मदद,489
जरूरी,490
औंदा,491
तिसते,492
बाबा,493
होरी,494
ब्याह,495
सालां,496
सोची,497
I,498
शेर,499
बचारा,500
धरती,501
पी,502
रस्ता,503
जरूरत,504
खराब,505
दें,506
औणे,507
पिता,508
दिन्दे,509
दुनियां,510
दादी,511
कैसे,512
केई,513
लेकिन,514
सदा,515
मिलणा,516
रेही,517
भारी,518
प्यारे,519
बड़ी,520
दुए,521
लगे,522
बेही,523
खेल,524
राजें,525
निकली,526
उठी,527
मने,528
सारियां,529
देहया,530
महाराज,531
येई,532
तु,533
ताह्लू,534
यां,535
खास,536
पट्ट,537
करणा,538
ले,539
तंग,540
सोचणा,541
कुड़ी,542
....,543
दीयां,544
ईय्या,545
ग्राऐं,546
ताई,547
बार,548
करगा,549
उसजो,550
भरी,551
खाना,552
शर्मा,553
सांजो,554
पसन्द,555
रूप,556
लोग,557
चोर,558
पाया,559
बडा,560
;,561
हत्थे,562
दुनिया,563
तिनां,564
सही,565
होणी,566
त्यार,567
पुज्जी,568
देरा,569
छुट्टी,570
बन्द,571
हुंदा,572
इसदा,573
जोन्ढे,574
गलांदे,575
सेवा,576
राज,577
तिन्नां,578
होंदी,579
ब्राह्मण,580
औंदे,581
कारण,582
रैहणा,583
कम्मे,584
साह,585
संह,586
म्हाचले,587
बिल्कुल,588
भुल्ली,589
लगदी,590
माइक,591
किया,592
हार,593
रिहा,594
रिह्या,595
शुरू,596
लाल,597
तिजो,598
लोक्कां,599
आपके,600
तिस्स,601
समय,602
पक्का,603
हटी,604
बरखा,605
सकता,606
कै,607
मेरिया,608
गीत,609
बोलिया,610
खा,611
अज्जे,612
हुन,613
इत्थू,614
तिथू,615
अंदर,616
जाने,617
बिच्च,618
मिंजों,619
मुंह,620
नूंह,621
डाक्टर,622
चा,623
देयां,624
साहीं,625
फ़िरी,626
जेहड़ा,627
नाटक,628
रेया,629
जेया,630
तुम,631
अग्गे,632
पूरे,633
इतणा,634
मतलब,635
टैमे,636
जाना,637
रक्खी,638
दिन्दा,639
व्याह,640
झट,641
कुत्ते,642
बच्चेयां,643
मुंड्डू,644
हुन्दे,645
रेहया,646
अप्पु,647
फेरी,648
रेई,649
होंदा,650
कमरे,651
बैठा,652
बोला,653
बड्डी,654
वे,655
खाली,656
हाय,657
परंत,658
कुड़ियां,659
लैंदे,660
अच्छी,661
साफ,662
देसे,663
